# provenance: runs=20260630T0538__10ep_3bb+20260703T2106__s5fix (합성: 통합 스택 S5 gemma·llama = s5fix, 그 외 = 기존 run — 행 단위 출처는 run 열) script=paper/figures/scripts/extract_per_trial.py (complete bag 만; 집계기 compute_record 동일 경로; c_grounded = s1_reason∈{ok,latched} 구간 c̃ 평균)
run,backbone,scenario,baseline,fault_class,fault_variant,track,episode,trial_id,V,V_floor,SR,ARS,QR,bar_r,tau_loop,gate_R,n_accept,n_confirm,n_reject,reject_reasons,c_grounded,c_rise_t,c_n
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep02,S5__b0__cognitive_lapse__E1_self_correction__ep02,0.0,0.0,0,1.0,0.0,1.8000000000000012,0.05197930335998535,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep03,S5__b0__cognitive_lapse__E1_self_correction__ep03,0.0,0.0,0,1.0,0.0,1.8000000000000003,0.053710222244262695,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep04,S5__b0__cognitive_lapse__E1_self_correction__ep04,0.0,0.0,0,1.0,0.0,1.7999999999999992,0.053571224212646484,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep05,S5__b0__cognitive_lapse__E1_self_correction__ep05,0.0,0.0,0,1.0,0.0,1.8000000000000005,0.05319070816040039,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep06,S5__b0__cognitive_lapse__E1_self_correction__ep06,0.0,0.0,0,1.0,0.0,1.7999999999999985,0.05245780944824219,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep07,S5__b0__cognitive_lapse__E1_self_correction__ep07,0.0,0.0,0,1.0,0.0,1.7999999999999983,0.0529172420501709,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep08,S5__b0__cognitive_lapse__E1_self_correction__ep08,0.0,0.0,0,1.0,0.0,1.8000000000000005,0.052623748779296875,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,cognitive_lapse,E1_self_correction,B,ep09,S5__b0__cognitive_lapse__E1_self_correction__ep09,0.0,0.0,0,1.0,0.0,1.800000000000001,0.05259418487548828,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,hallucination,position_worst_user_direct,B,ep00,S5__b0__hallucination__position_worst_user_direct__ep00,1.0,0.9000436890840593,0,1.0,0.0,1.8000000000000007,0.055814504623413086,,0,0,0,,,,
20260630T0538__10ep_3bb,gpt-4o,S5,b0,hallucination,position_worst_user_direct,B,ep01,S5__b0__hallucination__position_worst_user_direct__ep01,1.0,0.9538281742568712,0,1.0,0.0,1.7999999999999996,0.056717634201049805,,0,0,0,,,,
